Epoch,Train Loss,Train Accuracy (%),Val Loss,Val Accuracy (%),Test Loss,Test Accuracy (%)
1,2.323878857307136,100.0,1.2534305087756366,69.80947728382999,1.3125727814622223,68.06640625
2,0.9651358625851572,100.0,0.977727479476016,75.18319491939424,0.9959579021669924,75.1953125
3,0.7453760891221464,100.0,0.8990626320592128,75.76941866145579,0.8962517088511959,77.490234375
4,0.5996919852914289,100.0,0.8394418184179813,77.7723497801661,0.859870916348882,77.5390625
5,0.5086638676002622,100.0,0.7833823619876057,79.7752808988764,0.7848871240857989,79.736328125
6,0.45784717856440693,100.0,0.7525792291853577,80.55691255495847,0.7464815689017996,80.37109375
7,0.40328813932137564,100.0,0.7696252572932281,78.89594528578408,0.7586618529167026,80.078125
8,0.38375254964921623,100.0,0.7629831891972572,79.67757694186615,0.7425058183725923,80.224609375
9,0.3475310900830664,100.0,0.7676533899502829,79.57987298485588,0.7772607507649809,79.8828125
10,0.3169567701406777,100.0,0.7762935027712956,78.9447972642892,0.7650238146889023,79.58984375
