epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,111.475,0.09744,1,1,0.00243,0.00023707,0.00023707,0.00023707
2,223.245,0.00139,1,1,0.00054,0.000381006,0.000381006,0.000381006
3,340.851,0.00042,1,1,0.00024,0.000430694,0.000430694,0.000430694
4,451.753,0.00022,1,1,0.00015,0.000289884,0.000289884,0.000289884
5,562.043,0.00016,1,1,0.00013,0.000148512,0.000148512,0.000148512
