Epoch,Loss,Accuracy
1,2.349952505901456,46.65363947239863
2,0.9838747181929648,74.03517342452369
3,0.7300246781669557,79.9218368343918
4,0.6045006532222033,83.02393746946751
5,0.4965476579964161,85.80850024425989
6,0.46452659217175096,87.10307767464582
7,0.4070440714713186,88.10454323400097
8,0.3841691198758781,88.7151929653151
9,0.3510107077891007,90.22960429897411
10,0.3251083168433979,90.32730825598436
11,0.30411065119551495,90.42501221299463
12,0.2807647237787023,91.64631167562287
13,0.26844538672594354,92.01270151441133
14,0.26309049245901406,92.15925744992673
15,0.24886800692183897,92.69662921348315
